epoch,train_loss,test_loss
0,0.7161684743742317,0.5203391726419424
1,0.2966194210657433,0.4547809633859404
2,0.27268796823203945,0.3701899931499153
3,0.25864485651850383,0.5678182576492334
4,0.25362276492604635,0.5032122537588618
5,0.24724793096364878,0.3650606328704555
6,0.24371373487004974,0.33463829067672135
7,0.24408278161131625,0.33642680886065124
8,0.23819793435707212,0.33601705378787533
9,0.23822678745325124,0.37026072972139734
10,0.23547622663920115,0.33912508645255096
11,0.23406167132760097,0.33456174953348317
12,0.23362632892501634,0.316919502274246
13,0.23303982279082733,0.33771107630555036
14,0.23258672530915755,0.3149407967260689
