epoch,train_loss,test_loss
0,0.88826407397047,0.8266711622476578
1,0.5445396654149319,0.7728862941265107
2,0.5130848416622649,0.6892756357789039
3,0.49600294714278365,0.7505447834730148
4,0.48602284636903315,0.8101945489645004
5,0.4792251377663714,0.6244591705501079
6,0.4732813591652728,0.6974023804068565
7,0.47062789315873005,0.6377943642437458
8,0.4683055372948342,0.5971293248236179
9,0.4668167011534914,0.5819895319640637
10,0.46514926083544467,0.5809795737266541
11,0.4637727161671253,0.5901394203305245
12,0.4638920403541403,0.5959389001131058
13,0.4630988214878326,0.5934931039810181
14,0.462762838602066,0.5751439951360225
