epoch,train_loss,test_loss
0,0.6122077020400382,0.5754089005291462
1,0.07993228833409066,0.2942224722355604
2,0.04612589124986466,0.16418788488954306
3,0.03187323057667372,0.3679028505459428
4,0.022309423971207852,0.2128820814192295
5,0.017404932758592544,0.1579438466578722
6,0.009796464847440416,0.16199330501258374
7,0.0065528114484821225,0.14588043224066496
8,0.004858503892938507,0.1674632250331342
9,0.006393435194672264,0.12761495355516672
10,0.0024484918314091704,0.10250293635763227
11,0.0011543534682479074,0.10814790553413331
12,0.0010691982926800847,0.10965693853795529
13,0.0008868819474183181,0.1120081290602684
14,0.0006726263150414254,0.10328394654206932
