epoch,train_loss,test_loss
0,0.5269767030934492,0.256442973279953
1,0.08967598481178284,0.20875292166471482
2,0.05602113488912582,0.13038986090421675
3,0.0413915358265241,0.1430831288933754
4,0.0306742871205012,0.1325359659075737
5,0.02671419631242752,0.14160613633394242
6,0.020472968784968057,0.11078147175312042
7,0.017463911606868106,0.09837098331451416
8,0.014756129320462545,0.1220942605137825
9,0.01346749062538147,0.10060355702638626
10,0.009100352793931961,0.09543369489908218
11,0.007092044566075007,0.12336103814840317
12,0.00778839614590009,0.1237057765364647
13,0.00832144336104393,0.10596470822095871
14,0.005569763642549515,0.10239609105587005
