epoch,train_loss,test_loss
0,0.27691329662799835,0.20776425285366015
1,0.06298871650894483,0.16518479044111772
2,0.04139912249644597,0.15312964955981548
3,0.02917633666594823,0.14524384741537488
4,0.023791948727766674,0.12423953297324836
5,0.01873419641852379,0.11679607497665068
6,0.013446271351973215,0.1195299588619901
7,0.012850484067201615,0.10578465692627544
8,0.01015988652308782,0.12027217303744901
9,0.008084936785697936,0.1166074380111961
10,0.006408258062601089,0.11183756825546869
11,0.006041165677706401,0.1046262029260873
12,0.005147758783896764,0.11459818494300873
13,0.0036228666444619497,0.10195061889366981
14,0.0026155517756938935,0.1121360146866058
