epoch,train_loss,test_loss
0,0.27952787264585494,0.23553608205318452
1,0.06835337560375532,0.17796129434108734
2,0.04591447369257609,0.12981535490751267
3,0.03270470908284187,0.1285018250823021
4,0.02532376651763916,0.12866296668052674
5,0.019556273551781973,0.11258640375137328
6,0.016567397489150364,0.1054847179889679
7,0.014286211218436559,0.1144547052025795
8,0.011047537179787953,0.1143321851015091
9,0.009263809806108475,0.10494949575662613
10,0.007410743318001429,0.10523192266225814
11,0.006836763459444046,0.09564071747064591
12,0.006107753590742747,0.11097289912700653
13,0.00518988412419955,0.10236046825647355
14,0.003456012008587519,0.11797918397188187
