epoch,train_loss,test_loss
0,2.302937931315104,2.302733984375
1,2.3027328776041665,2.302734375
2,2.302732194010417,2.302734375
3,2.302729557291667,2.302734375
4,2.3027310546875,2.302734375
5,2.3027305013020833,2.302734375
6,2.3027323567708335,2.302734375
7,2.3027303059895834,2.302734375
8,2.30273173828125,2.302734375
9,2.30273232421875,2.302734375
10,2.30273095703125,2.302734375
11,2.30272939453125,2.302734375
12,2.302731282552083,2.302734375
13,2.3027307942708335,2.302734375
14,2.3027300130208332,2.302734375
