epoch,train_loss,test_loss
0,1.0589638547475404,0.9006737236735187
1,0.5350988673757134,0.7470337808886661
2,0.5034758177266192,0.6149356897118725
3,0.48852248137185317,0.6679160066797764
4,0.4842061930056066,0.6496762689910357
5,0.47873678110809975,0.6225749921949604
6,0.47310280577460334,0.6252394469478463
7,0.4719664721664335,0.5644585377053369
8,0.46848811695316456,0.5883382366427893
9,0.46637898124357274,0.5658909663369384
10,0.4649619330793047,0.568758796664733
11,0.465483330555562,0.5582849319222607
12,0.46340135397560306,0.5664246138892596
13,0.4627459335492364,0.5493611489670186
14,0.46313394818987164,0.5808604955673218
